枠番号,キャラ名,カード名,シリーズ,属性,開始日,終了日,復刻回数
1,ルーカス・エラント,集う光の下へ,恒常,草,2024/04/18,2024/04/19,1
1,歩ニ 魁斗,庶民派代表貴族コーデ,恒常,水,2024/04/18,2024/04/19,1
2,黒鷲 玲音,悪魔からの新着通知,恒常,火,2024/04/19,2024/04/26,1
2,音無 叶空,言の葉は泡となりて,恒常,草,2024/04/19,2024/04/26,1
2,艸楽 陽,怪異サファリへようこそ,恒常,火,2024/04/23,2024/04/26,1
3,白波 蓮,最悪に次ぐ最悪,恒常,水,2024/04/26,2024/05/03,1
3,磴 塔真,創られし笑顔,恒常,水,2024/04/26,2024/05/03,1
3,星喰 大我,博徒は欲望のままに,恒常,水,2024/04/30,2024/05/03,1
4,ロミオ・ルッチ,積み上げてきた富と罪,恒常,草,2024/05/03,2024/05/10,1
4,灰園 翔平,余裕系男子,恒常,草,2024/05/03,2024/05/10,1
4,針条 律,全ての黒を眩き白に,恒常,火,2024/05/07,2024/05/10,1
5,黒鷲 玲音,夜の帳を足元に,休日,水,2024/05/10,2024/05/17,1
5,御堂 亜嵐,真実なら奪い獲るまで,恒常,草,2024/05/10,2024/05/17,1
5,冠氷 尋,凍てついた暴君,恒常,水,2024/05/14,2024/05/17,1
6,音無 叶空,夜空に咲かせ、大輪の花,休日,草,2024/05/17,2024/05/24,1
6,歩ニ 魁斗,庶民派代表貴族コーデ,恒常,水,2024/05/17,2024/05/24,2
6,艸楽 陽,怪異サファリへようこそ,恒常,火,2024/05/21,2024/05/24,2
7,磴 塔真,待ち伏せた鏡の中で,休日,火,2024/05/24,2024/05/31,1
7,音無 叶空,夜空に咲かせ、大輪の花,休日,草,2024/05/24,2024/05/31,2
7,黒鷲 玲音,夜の帳を足元に,休日,火,2024/05/28,2024/05/31,2
8,草薙 伯玖,諧謔趣味の若神主,恒常,火,2024/05/31,2024/06/07,1
8,ルーカス・エラント,集う光の下へ,恒常,草,2024/05/31,2024/06/07,2
8,殊玉善治,ボクは令和の夏目漱石,恒常,水,2024/06/04,2024/06/07,1
9,加賀見 昴流,雨霞に煙る立役者,恒常,草,2024/06/07,2024/06/14,1
9,白波 蓮,最悪に次ぐ最悪,恒常,水,2024/06/07,2024/06/14,2
9,ルーカス・エラント,弱者に手を差し伸べて,休日,火,2024/06/11,2024/06/14,1
10,冠氷 尋,凍れる王子に雪解けを,結婚,火,2024/06/14,2024/06/21,1
10,磴 塔真,創られし笑顔,恒常,水,2024/06/14,2024/06/21,2
10,星喰 大我,博徒は欲望のままに,恒常,水,2024/06/18,2024/06/21,2
11,草薙 伯玖,ただありふれた祝福を,結婚,草,2024/06/21,2024/06/28,1
11,灰園 翔平,余裕系男子,恒常,草,2024/06/21,2024/06/28,2
11,ロミオ・ルッチ,積み上げてきた富と罪,恒常,草,2024/06/25,2024/06/28,2
12,観月 累,死神の寵愛,恒常,水,2024/06/28,2024/07/05,1
12,御堂 亜嵐,真実なら奪い獲るまで,恒常,草,2024/06/28,2024/07/05,2
12,エドワード・ハート,真夜中の怪異公,恒常,火,2024/07/02,2024/07/09,1
13,ライカ・コルト,なに見てんだよ、人間,恒常,草,2024/07/05,2024/07/12,1
13,針条 律,全ての黒を眩き白に,恒常,火,2024/07/05,2024/07/12,2
13,御堂 亜嵐,夕闇迫る黒鉄の下で,休日,水,2024/07/09,2024/07/12,1
14,加賀見 昴流,御神籤に訊ねる,休日,水,2024/07/12,2024/07/19,1
14,冠氷 尋,凍てついた暴君,恒常,水,2024/07/12,2024/07/19,2
14,音無 叶空,夜空に咲かせ、大輪の花,休日,草,2024/07/16,2024/07/19,3
15,黒鷲 玲音,夜の帳を足元に,休日,水,2024/07/19,2024/07/26,3
15,ルーカス・エラント,集う光の下へ,恒常,草,2024/07/19,2024/07/26,3
15,草薙 伯玖,諧謔趣味の若神主,恒常,火,2024/07/23,2024/07/30,2
16,艸楽 陽,弾けるポップな夜遊びを,休日,草,2024/07/26,2024/08/02,1
16,白波 蓮,はみ出し者にも止り木を,休日,火,2024/07/26,2024/08/02,1
16,桐崎 次郎,目覚めた怪物,恒常,火,2024/07/30,2024/08/06,1
17,衣佐美 佑理,生かすも殺すも僕次第,恒常,水,2024/08/02,2024/08/09,1
17,観月 累,死神の寵愛,恒常,水,2024/08/02,2024/08/09,2
17,冠氷 尋,凍れる王子に雪解けを,結婚,火,2024/08/06,2024/08/13,2
18,観月 累,心に触れる花束を,結婚,火,2024/08/09,2024/08/16,1
18,歩ニ 魁斗,庶民派代表貴族コーデ,恒常,水,2024/08/09,2024/08/16,3
18,ライカ・コルト,なに見てんだよ、人間,恒常,草,2024/08/13,2024/08/20,2
19,冠氷 尋,俺の座る椅子が常に王座,休日,草,2024/08/16,2024/08/23,1
19,灰園 翔平,余裕系男子,恒常,草,2024/08/16,2024/08/23,3
19,エドワード・ハート,真夜中の怪異公,恒常,火,2024/08/20,2024/08/27,2
20,殊玉善治,素敵なサムシング探訪記,休日,火,2024/08/23,2024/08/30,1
20,草薙 伯玖,ただありふれた祝福を,結婚,草,2024/08/23,2024/08/30,2
20,桐崎 次郎,目覚めた怪物,恒常,火,2024/08/27,2024/09/03,2
20,音無 叶空,言の葉は泡となりて,恒常,草,2024/08/27,2024/09/03,2
21,星喰 大我,噛み殺した渇望の遺物,8章,火,2024/08/30,2024/09/06,1
21,加賀見 昴流,雨霞に煙る立役者,恒常,草,2024/08/30,2024/09/06,2
21,針条 律,司法こそが我が至宝,8章,草,2024/09/03,2024/09/10,1
21,黒鷲 玲音,悪魔からの新着通知,恒常,火,2024/09/03,2024/09/10,2
22,ロミオ・ルッチ,艶やかに散りゆく紅,8章,水,2024/09/06,2024/09/13,1
22,冠氷 尋,凍てついた暴君,恒常,水,2024/09/06,2024/09/13,3
22,御堂 亜嵐,男身一つ、露天参り,温泉,火,2024/09/10,2024/09/17,1
22,ルーカス・エラント,弱者に手を差し伸べて,休日,火,2024/09/10,2024/09/17,2
23,草薙 伯玖,行く川の流れに身を委ね,休日,水,2024/09/13,2024/09/20,1
23,衣佐美 佑理,生かすも殺すも僕次第,恒常,水,2024/09/13,2024/09/20,2
23,観月 累,死神の寵愛,恒常,水,2024/09/17,2024/09/24,3
23,灰園 翔平,余裕系男子,恒常,草,2024/09/17,2024/09/24,4
24,エドワード・ハート,夜来の雨とはぐれ妖,休日,草,2024/09/20,2024/09/27,1
24,艸楽 陽,怪異サファリへようこそ,恒常,火,2024/09/20,2024/09/27,3
24,冠氷 尋,俺の座る椅子が常に王座,休日,草,2024/09/24,2024/10/01,2
24,ライカ・コルト,なに見てんだよ、人間,恒常,草,2024/09/24,2024/10/01,3
24,磴 塔真,待ち伏せた鏡の中で,休日,火,2024/09/24,2024/10/01,2
25,桐崎 次郎,血染めの畏怖,9章,草,2024/09/27,2024/10/04,1
25,白波 蓮,最悪に次ぐ最悪,恒常,水,2024/10/01,2024/10/08,3
25,殊玉善治,屍者のフィロソフィア,9章,草,2024/10/01,2024/10/08,1
25,黒鷲 玲音,夜の帳を足元に,休日,水,2024/10/01,2024/10/08,4
26,ロミオ・ルッチ,黒曜の葬送人,9章,火,2024/10/04,2024/10/11,1
26,草薙 伯玖,諧謔趣味の若神主,恒常,火,2024/10/04,2024/10/11,3
26,歩ニ 魁斗,今宵は静かな屍人形,9章,火,2024/10/08,2024/10/15,1
26,御堂 亜嵐,真実なら奪い獲るまで,恒常,草,2024/10/08,2024/10/15,3
27,冠氷 尋,氷皇の素顔,パジャマ,水,2024/10/11,2024/10/18,1
27,針条 律,全ての黒を眩き白に,恒常,火,2024/10/11,2024/10/18,3
27,星喰 大我,噛み殺した渇望の遺物,8章,火,2024/10/15,2024/10/22,2
27,ルーカス・エラント,集う光の下へ,恒常,草,2024/10/15,2024/10/22,4
28,灰園 翔平,余裕系男子,恒常,草,2024/10/18,2024/10/25,5
28,加賀見 昴流,御神籤に訊ねる,休日,水,2024/10/18,2024/10/25,2
28,音無 叶空,夜空に咲かせ、大輪の花,休日,草,2024/10/22,2024/10/29,4
28,衣佐美 佑理,生かすも殺すも僕次第,恒常,水,2024/10/22,2024/10/29,3
29,桐崎 次郎,目覚めた怪物,恒常,火,2024/10/25,2024/11/01,3
29,艸楽 陽,弾けるポップな夜遊びを,休日,草,2024/10/25,2024/11/01,2
29,エドワード・ハート,闇より来たる従者,10章,水,2024/10/29,2024/11/05,1
29,白波 蓮,はみ出し者にも止り木を,休日,火,2024/10/29,2024/11/05,2
30,観月 累,燭台に揺らめく影細工,10章,草,2024/11/01,2024/11/08,1
30,針条 律,司法こそが我が至宝,8章,草,2024/11/01,2024/11/08,2
30,ライカ・コルト,見習い執事は破天荒,10章,水,2024/11/05,2024/11/12,1
30,磴 塔真,創られし笑顔,恒常,水,2024/11/05,2024/11/12,3
31,星喰 大我,欲望渦巻くこの街で,休日,草,2024/11/08,2024/11/15,1
31,殊玉善治,ボクは令和の夏目漱石,恒常,水,2024/11/08,2024/11/15,2
31,加賀見 昴流,平穏に爪先を浸して,浴衣,火,2024/11/12,2024/11/19,1
31,ロミオ・ルッチ,積み上げてきた富と罪,恒常,草,2024/11/12,2024/11/19,3
